id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.speed,vehicle.timestamp,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.trip.tripId,vehicle.trip.startDate,vehicle.trip.routeId,vehicle.position.bearing,vehicle.currentStopSequence,vehicle.currentStatus,vehicle.stopId8093,40.11332,-75.345474,1.4037056,1664787605,8093,8093,50172,20221003,93,116.468094,1.0,STOPPED_AT,1649
3338,40.06045,-75.1671,7.3985114,1664787604,3338,3338,82889,20221003,L,126.86677,66.0,STOPPED_AT,26521
3335,40.011982,-75.13586,12.941808,1664787606,3335,3335,69567,20221003,47,189.45973,23.0,IN_TRANSIT_TO,16257
3333,40.062878,-75.13957,5.042611,1664787605,3333,3333,61348,20221003,22,188.62881,100.0,STOPPED_AT,15504
3350,39.97769,-75.1499,6.81736,1664787604,3350,3350,87239,20221003,3,279.1048,48.0,IN_TRANSIT_TO,25471
3347,40.027225,-75.11478,10.040518,1664787606,3347,3347,89150,20221003,R,259.0316,18.0,STOPPED_AT,23300
3359,40.08467,-75.06197,11.766092,1664787597,3359,3359,88429,20221003,67,47.867027,47.0,IN_TRANSIT_TO,27949
3369,40.095924,-74.97686,9.061501,1664787602,3369,3369,87822,20221003,20,47.23131,97.0,STOPPED_AT,23366
118B,39.947083,-75.292656,0.0491744,1664787604,118B,118B,52443,20221003,101,238.35983,11.0,STOPPED_AT,1940
3387,39.959637,-75.141655,11.6722145,1664787597,3387,3387,83181,20221003,MFO,189.29497,13.0,IN_TRANSIT_TO,20961
7301,39.98876,-75.11687,1.966976,1664787606,7301,7301,72704,20221003,54,145.95384,47.0,STOPPED_AT,5598
8632,39.953503,-75.16471,0.0625856,1664787603,8632,8632,81352,20221003,BSO,253.60019,18.0,IN_TRANSIT_TO,31564
8625,40.012955,-75.14347,1.6093439,1664787597,8625,8625,72462,20221003,53,99.24353,21.0,STOPPED_AT,18592
7304,39.963642,-75.169365,0.0268224,1664787606,7304,7304,64796,20221003,33,189.41214,35.0,STOPPED_AT,2780
7307,39.94995,-75.142265,0.0134112,1664787604,7307,7307,70271,20221003,48,9.705501,1.0,STOPPED_AT,69
7324,39.952827,-75.161705,2.114499,1664787603,7324,7324,64972,20221003,33,279.12555,14.0,STOPPED_AT,10264
7315,39.982807,-75.10121,0.0044704,1664787605,7315,7315,75540,20221003,60,,1.0,STOPPED_AT,341
7318,40.07452,-75.158585,0.0312928,1664787605,7318,7318,74965,20221003,6,166.98,1.0,STOPPED_AT,136
7317,39.999367,-75.135895,0.134112,1664787604,7317,7317,75685,20221003,60,99.326485,34.0,STOPPED_AT,15025
7333,39.99313,-75.1476,0.0044704,1664787602,7333,7333,72804,20221003,54,278.55997,29.0,STOPPED_AT,20519
7340,40.063026,-75.1394,7.394042,1664787606,7340,7340,58606,20221003,16,10.24,1.0,STOPPED_AT,136
8676,40.07002,-75.03875,16.473423,1664787606,8676,8676,89388,20221003,BLVDDIR,35.111134,4.0,IN_TRANSIT_TO,22513
7339,40.061283,-75.08393,0.0491744,1664787603,7339,7339,59431,20221003,18,37.905495,104.0,STOPPED_AT,15874
8684,40.136307,-74.95682,0.0044704,1664787605,8684,8684,89422,20221003,BLVDDIR,328.75067,2.0,STOPPED_AT,23080
7353,40.142204,-75.118576,5.0694337,1664787603,7353,7353,73146,20221003,55,128.29276,69.0,IN_TRANSIT_TO,809
8202,39.847626,-75.35795,0.4604512,1664787603,8202,8202,55215,20221003,113,147.66388,55.0,STOPPED_AT,24871
7369,40.183414,-74.877945,0.0089408,1664787606,7369,7369,87669,20221003,14,,5.0,STOPPED_AT,332
7368,40.022808,-75.078545,0.022352,1664787602,7368,7368,87628,20221003,14,34.92324,1.0,STOPPED_AT,21962
7359,40.009983,-75.16623,0.0089408,1664787604,7359,7359,73624,20221003,56,46.22895,9.0,STOPPED_AT,13905
8232,40.07155,-75.153755,0.0134112,1664787606,8232,8232,61300,20221003,22,306.4088,26.0,IN_TRANSIT_TO,18264
7397,40.009888,-75.16612,0.0,1664787603,7397,7397,64798,20221003,33,46.22895,1.0,STOPPED_AT,13905
